cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
2022-01,407.0,39.0,57.0,64.0,52.0,63.0,49.0,53.0,58.0,54.0,52.0,60.0,50.0,55.0,67.0,45.0,59.0,58.0,51.0,62.0,47.0,44.0,44.0,71.0,42.0,53.0,57.0,53.0,62.0,54.0,54.0,65.0,49.0,67.0,43.0,46.0
2022-02,312.0,24.0,37.0,37.0,39.0,38.0,43.0,39.0,45.0,48.0,48.0,38.0,27.0,41.0,43.0,43.0,44.0,42.0,48.0,48.0,44.0,35.0,32.0,38.0,41.0,42.0,32.0,42.0,38.0,43.0,46.0,43.0,44.0,45.0,43.0,
2022-03,311.0,42.0,38.0,33.0,45.0,48.0,40.0,46.0,43.0,48.0,42.0,26.0,37.0,46.0,44.0,40.0,31.0,41.0,40.0,33.0,43.0,43.0,38.0,39.0,32.0,42.0,32.0,36.0,29.0,47.0,38.0,42.0,34.0,42.0,,
2022-04,243.0,35.0,39.0,35.0,34.0,25.0,24.0,34.0,23.0,27.0,35.0,28.0,21.0,23.0,19.0,36.0,48.0,35.0,33.0,31.0,28.0,29.0,34.0,33.0,29.0,34.0,33.0,29.0,27.0,33.0,31.0,33.0,25.0,,,
2022-05,236.0,23.0,30.0,31.0,29.0,32.0,26.0,30.0,28.0,27.0,35.0,34.0,34.0,29.0,28.0,31.0,35.0,33.0,28.0,38.0,30.0,23.0,32.0,32.0,30.0,22.0,29.0,27.0,31.0,37.0,28.0,34.0,,,,
2022-06,197.0,27.0,32.0,28.0,21.0,26.0,20.0,33.0,31.0,32.0,23.0,20.0,16.0,36.0,25.0,33.0,16.0,31.0,27.0,33.0,23.0,23.0,31.0,30.0,29.0,28.0,29.0,23.0,27.0,29.0,21.0,,,,,
2022-07,177.0,23.0,26.0,17.0,18.0,25.0,22.0,21.0,17.0,27.0,21.0,20.0,27.0,20.0,20.0,22.0,21.0,24.0,25.0,16.0,27.0,27.0,19.0,20.0,27.0,27.0,36.0,22.0,19.0,16.0,,,,,,
2022-08,172.0,22.0,28.0,14.0,16.0,19.0,24.0,22.0,25.0,14.0,24.0,14.0,17.0,27.0,21.0,23.0,27.0,23.0,24.0,19.0,22.0,25.0,25.0,29.0,24.0,23.0,24.0,16.0,25.0,,,,,,,
2022-09,121.0,20.0,13.0,17.0,15.0,15.0,21.0,19.0,12.0,21.0,15.0,4.0,15.0,19.0,12.0,15.0,16.0,11.0,11.0,19.0,16.0,18.0,14.0,10.0,10.0,16.0,13.0,12.0,,,,,,,,
2022-10,116.0,18.0,19.0,12.0,13.0,15.0,12.0,15.0,19.0,15.0,18.0,11.0,10.0,12.0,15.0,15.0,8.0,17.0,18.0,16.0,10.0,14.0,18.0,12.0,19.0,12.0,12.0,,,,,,,,,
2022-11,102.0,15.0,19.0,10.0,14.0,11.0,10.0,11.0,10.0,15.0,14.0,12.0,15.0,7.0,14.0,11.0,13.0,16.0,13.0,10.0,21.0,13.0,15.0,11.0,10.0,16.0,,,,,,,,,,
2022-12,87.0,12.0,9.0,12.0,14.0,14.0,12.0,9.0,13.0,8.0,7.0,7.0,15.0,14.0,16.0,11.0,13.0,6.0,11.0,15.0,12.0,8.0,7.0,5.0,9.0,,,,,,,,,,,
