cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
2022-01,3959.21,4402.07,5001.53,5549.75,5991.51,6633.36,7166.28,7749.14,8286.89,8756.66,9226.01,9784.62,10345.17,10893.98,11477.96,11902.67,12598.56,13145.81,13609.23,14086.52,14542.96,14923.95,15369.44,16020.09,16378.86,16880.22,17394.48,18005.72,18672.44,19125.24,19744.98,20344.36,20806.81,21495.24,21832.06,22318.79
2022-02,3995.25,4295.23,4696.27,5076.94,5583.59,6041.51,6485.98,6845.73,7336.13,7895.82,8537.2,8975.06,9317.42,9869.04,10324.9,10897.85,11403.7,12050.82,12737.93,13397.03,13841.78,14261.32,14602.9,15163.78,15658.51,16106.63,16481.69,16976.44,17403.34,17994.7,18554.23,19053.61,19459.79,20064.65,20560.0,
2022-03,3912.29,4428.54,4935.17,5371.33,5909.02,6529.26,6987.9,7578.18,8066.54,8732.77,9220.21,9571.81,9998.9,10573.79,11078.01,11549.62,12027.96,12576.93,13033.9,13370.48,13792.61,14244.85,14763.71,15266.93,15655.78,16129.28,16525.23,16944.16,17328.89,17813.1,18220.0,18693.01,19112.54,19674.24,,
2022-04,4086.87,4741.8,5606.96,6186.72,6646.58,7093.83,7538.53,8129.13,8523.32,8967.75,9517.53,9918.16,10340.45,10712.86,10930.11,11467.07,12172.19,12666.21,13136.81,13655.59,14235.67,14697.62,15158.67,15863.03,16442.53,16973.68,17692.29,18124.3,18454.8,18810.6,19310.69,19758.17,20119.75,,,
2022-05,3851.16,4151.55,4660.52,5151.03,5718.35,6229.72,6773.25,7304.32,7742.76,8211.9,8905.46,9379.12,9899.75,10553.21,11240.0,11800.82,12403.31,12953.55,13389.31,13975.25,14578.07,14938.12,15425.96,15942.5,16499.49,16883.55,17202.28,17789.82,18347.35,18803.75,19234.61,19778.18,,,,
2022-06,4228.42,4765.68,5388.83,5934.56,6350.0,6868.35,7193.9,7945.94,8652.22,9299.81,9893.94,10248.11,10574.59,11436.8,12045.36,12841.59,13101.97,13703.73,14177.09,14840.29,15312.8,15796.08,16471.6,17130.46,17837.42,18353.03,18971.06,19444.81,20024.48,20588.15,21135.17,,,,,
2022-07,3861.79,4323.34,4918.09,5198.35,5473.71,5947.6,6278.25,6669.29,6991.16,7400.75,7742.62,8168.07,8652.36,9111.69,9457.3,10040.42,10467.55,10983.54,11576.53,11788.28,12325.49,13002.24,13476.69,13849.87,14324.87,14958.95,15794.81,16170.26,16698.15,17021.13,,,,,,
2022-08,3709.47,4135.0,4771.94,5178.09,5530.75,5894.91,6467.91,7212.31,7714.94,8051.36,8522.82,8784.1,9067.46,9613.08,9975.36,10510.73,11059.9,11549.63,12167.17,12624.84,13066.33,13570.05,14141.23,14640.5,15241.32,15737.57,16331.91,16766.27,17207.16,,,,,,,
2022-09,3649.72,4180.32,4665.19,5261.84,5818.12,6290.32,6965.63,7551.18,7796.59,8741.79,9278.18,9434.0,9880.71,10348.68,10604.67,11189.76,11664.47,11926.15,12197.15,12831.47,13184.09,13759.63,14318.25,14753.62,15043.43,15531.17,15848.86,16233.32,,,,,,,,
2022-10,3529.65,4540.54,5131.96,5564.55,6000.78,6551.26,6981.87,7522.34,8040.46,8541.25,9040.87,9453.13,9874.66,10214.59,10717.71,11256.25,11452.33,12018.53,12676.82,13190.26,13471.84,13769.39,14508.37,14847.55,15279.26,15460.07,15907.17,,,,,,,,,
2022-11,4003.09,4654.56,5237.8,5690.77,6259.45,6873.45,7369.96,7666.21,7909.48,8565.48,9343.45,9802.23,10377.15,10777.76,11239.61,11582.22,12263.76,12826.44,13408.17,13745.74,14553.02,15040.56,15496.5,15963.74,16365.8,17174.95,,,,,,,,,,
2022-12,3977.82,4607.43,4929.42,5557.87,6499.14,7191.21,7799.56,8441.38,8927.97,9103.72,10144.43,10450.86,11182.47,12064.39,12743.49,13095.64,13510.43,13655.48,14031.31,14645.59,15148.68,15409.55,15769.44,15991.5,16262.69,,,,,,,,,,,
