cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
2022-01,100.0,9.58,14.0,15.72,12.78,15.48,12.04,13.02,14.25,13.27,12.78,14.74,12.29,13.51,16.46,11.06,14.5,14.25,12.53,15.23,11.55,10.81,10.81,17.44,10.32,13.02,14.0,13.02,15.23,13.27,13.27,15.97,12.04,16.46,10.57,11.3
2022-02,100.0,7.69,11.86,11.86,12.5,12.18,13.78,12.5,14.42,15.38,15.38,12.18,8.65,13.14,13.78,13.78,14.1,13.46,15.38,15.38,14.1,11.22,10.26,12.18,13.14,13.46,10.26,13.46,12.18,13.78,14.74,13.78,14.1,14.42,13.78,
2022-03,100.0,13.5,12.22,10.61,14.47,15.43,12.86,14.79,13.83,15.43,13.5,8.36,11.9,14.79,14.15,12.86,9.97,13.18,12.86,10.61,13.83,13.83,12.22,12.54,10.29,13.5,10.29,11.58,9.32,15.11,12.22,13.5,10.93,13.5,,
2022-04,100.0,14.4,16.05,14.4,13.99,10.29,9.88,13.99,9.47,11.11,14.4,11.52,8.64,9.47,7.82,14.81,19.75,14.4,13.58,12.76,11.52,11.93,13.99,13.58,11.93,13.99,13.58,11.93,11.11,13.58,12.76,13.58,10.29,,,
2022-05,100.0,9.75,12.71,13.14,12.29,13.56,11.02,12.71,11.86,11.44,14.83,14.41,14.41,12.29,11.86,13.14,14.83,13.98,11.86,16.1,12.71,9.75,13.56,13.56,12.71,9.32,12.29,11.44,13.14,15.68,11.86,14.41,,,,
2022-06,100.0,13.71,16.24,14.21,10.66,13.2,10.15,16.75,15.74,16.24,11.68,10.15,8.12,18.27,12.69,16.75,8.12,15.74,13.71,16.75,11.68,11.68,15.74,15.23,14.72,14.21,14.72,11.68,13.71,14.72,10.66,,,,,
2022-07,100.0,12.99,14.69,9.6,10.17,14.12,12.43,11.86,9.6,15.25,11.86,11.3,15.25,11.3,11.3,12.43,11.86,13.56,14.12,9.04,15.25,15.25,10.73,11.3,15.25,15.25,20.34,12.43,10.73,9.04,,,,,,
2022-08,100.0,12.79,16.28,8.14,9.3,11.05,13.95,12.79,14.53,8.14,13.95,8.14,9.88,15.7,12.21,13.37,15.7,13.37,13.95,11.05,12.79,14.53,14.53,16.86,13.95,13.37,13.95,9.3,14.53,,,,,,,
2022-09,100.0,16.53,10.74,14.05,12.4,12.4,17.36,15.7,9.92,17.36,12.4,3.31,12.4,15.7,9.92,12.4,13.22,9.09,9.09,15.7,13.22,14.88,11.57,8.26,8.26,13.22,10.74,9.92,,,,,,,,
2022-10,100.0,15.52,16.38,10.34,11.21,12.93,10.34,12.93,16.38,12.93,15.52,9.48,8.62,10.34,12.93,12.93,6.9,14.66,15.52,13.79,8.62,12.07,15.52,10.34,16.38,10.34,10.34,,,,,,,,,
2022-11,100.0,14.71,18.63,9.8,13.73,10.78,9.8,10.78,9.8,14.71,13.73,11.76,14.71,6.86,13.73,10.78,12.75,15.69,12.75,9.8,20.59,12.75,14.71,10.78,9.8,15.69,,,,,,,,,,
2022-12,100.0,13.79,10.34,13.79,16.09,16.09,13.79,10.34,14.94,9.2,8.05,8.05,17.24,16.09,18.39,12.64,14.94,6.9,12.64,17.24,13.79,9.2,8.05,5.75,10.34,,,,,,,,,,,
2023-01,100.0,15.15,13.64,18.18,7.58,13.64,13.64,15.15,10.61,6.06,13.64,16.67,12.12,12.12,18.18,13.64,16.67,13.64,9.09,10.61,13.64,7.58,15.15,10.61,,,,,,,,,,,,
2023-02,100.0,14.55,3.64,25.45,5.45,5.45,9.09,7.27,7.27,21.82,3.64,10.91,18.18,10.91,10.91,10.91,18.18,10.91,21.82,14.55,12.73,7.27,3.64,,,,,,,,,,,,,
2023-03,100.0,13.16,13.16,15.79,10.53,15.79,13.16,13.16,15.79,10.53,13.16,13.16,10.53,10.53,10.53,10.53,21.05,13.16,7.89,13.16,13.16,13.16,,,,,,,,,,,,,,
2023-04,100.0,16.98,9.43,22.64,11.32,20.75,15.09,9.43,11.32,16.98,3.77,13.21,9.43,15.09,13.21,11.32,15.09,7.55,13.21,16.98,11.32,,,,,,,,,,,,,,,
2023-05,100.0,8.82,14.71,14.71,2.94,14.71,20.59,14.71,,14.71,8.82,14.71,5.88,23.53,17.65,11.76,17.65,14.71,11.76,8.82,,,,,,,,,,,,,,,,
2023-06,100.0,8.57,11.43,8.57,17.14,14.29,17.14,8.57,17.14,14.29,8.57,17.14,17.14,2.86,17.14,11.43,8.57,17.14,14.29,,,,,,,,,,,,,,,,,
2023-07,100.0,12.9,9.68,6.45,16.13,3.23,,19.35,16.13,9.68,22.58,16.13,16.13,16.13,9.68,12.9,9.68,12.9,,,,,,,,,,,,,,,,,,
2023-08,100.0,15.15,12.12,6.06,21.21,6.06,9.09,6.06,6.06,12.12,12.12,6.06,15.15,15.15,6.06,9.09,9.09,,,,,,,,,,,,,,,,,,,
2023-09,100.0,20.0,12.0,8.0,24.0,4.0,24.0,4.0,16.0,,20.0,28.0,8.0,8.0,16.0,20.0,,,,,,,,,,,,,,,,,,,,
2023-10,100.0,14.29,9.52,9.52,19.05,19.05,23.81,,23.81,19.05,14.29,9.52,,9.52,19.05,,,,,,,,,,,,,,,,,,,,,
2023-11,100.0,11.11,16.67,11.11,5.56,16.67,11.11,,11.11,16.67,,27.78,16.67,27.78,,,,,,,,,,,,,,,,,,,,,,
2023-12,100.0,22.22,11.11,33.33,,11.11,33.33,11.11,11.11,11.11,33.33,11.11,33.33,,,,,,,,,,,,,,,,,,,,,,,
2024-01,100.0,6.25,18.75,18.75,6.25,12.5,25.0,6.25,25.0,12.5,18.75,12.5,,,,,,,,,,,,,,,,,,,,,,,,
2024-02,100.0,5.88,17.65,,17.65,5.88,5.88,35.29,11.76,5.88,23.53,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03,100.0,12.5,12.5,25.0,12.5,12.5,12.5,12.5,25.0,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04,100.0,25.0,,,25.0,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05,100.0,41.67,,33.33,,,16.67,16.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06,100.0,12.5,25.0,12.5,25.0,12.5,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07,100.0,20.0,20.0,20.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08,100.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09,100.0,,14.29,14.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
