date_id,date,year,quarter,month,month_name,week,day,day_name,is_weekend,fiscal_year
1,2022-01-01,2022,1,1,January,52,1,Saturday,True,2021
2,2022-01-02,2022,1,1,January,52,2,Sunday,True,2021
3,2022-01-03,2022,1,1,January,1,3,Monday,False,2021
4,2022-01-04,2022,1,1,January,1,4,Tuesday,False,2021
5,2022-01-05,2022,1,1,January,1,5,Wednesday,False,2021
6,2022-01-06,2022,1,1,January,1,6,Thursday,False,2021
7,2022-01-07,2022,1,1,January,1,7,Friday,False,2021
8,2022-01-08,2022,1,1,January,1,8,Saturday,True,2021
9,2022-01-09,2022,1,1,January,1,9,Sunday,True,2021
10,2022-01-10,2022,1,1,January,2,10,Monday,False,2021
11,2022-01-11,2022,1,1,January,2,11,Tuesday,False,2021
12,2022-01-12,2022,1,1,January,2,12,Wednesday,False,2021
13,2022-01-13,2022,1,1,January,2,13,Thursday,False,2021
14,2022-01-14,2022,1,1,January,2,14,Friday,False,2021
15,2022-01-15,2022,1,1,January,2,15,Saturday,True,2021
16,2022-01-16,2022,1,1,January,2,16,Sunday,True,2021
17,2022-01-17,2022,1,1,January,3,17,Monday,False,2021
18,2022-01-18,2022,1,1,January,3,18,Tuesday,False,2021
19,2022-01-19,2022,1,1,January,3,19,Wednesday,False,2021
20,2022-01-20,2022,1,1,January,3,20,Thursday,False,2021
21,2022-01-21,2022,1,1,January,3,21,Friday,False,2021
22,2022-01-22,2022,1,1,January,3,22,Saturday,True,2021
23,2022-01-23,2022,1,1,January,3,23,Sunday,True,2021
24,2022-01-24,2022,1,1,January,4,24,Monday,False,2021
25,2022-01-25,2022,1,1,January,4,25,Tuesday,False,2021
26,2022-01-26,2022,1,1,January,4,26,Wednesday,False,2021
27,2022-01-27,2022,1,1,January,4,27,Thursday,False,2021
28,2022-01-28,2022,1,1,January,4,28,Friday,False,2021
29,2022-01-29,2022,1,1,January,4,29,Saturday,True,2021
30,2022-01-30,2022,1,1,January,4,30,Sunday,True,2021
31,2022-01-31,2022,1,1,January,5,31,Monday,False,2021
